序号,单词/词组,类型,难度
231,destinations,单词,5
232,destruction,单词,5
233,detail,单词,2
234,development,单词,5
235,diameter,单词,3
236,diary,单词,2
237,dictionary,单词,4
238,diet,单词,1
239,dining,单词,2
240,dinner,单词,2
241,direction,单词,4
242,disabled,单词,3
243,discount,单词,3
244,discs,单词,2
245,discussion,单词,4
246,disease,单词,3
247,distance,单词,3
248,distortion,单词,4
249,disturbing,单词,4
250,diversity,单词,4
251,doctor,单词,2
252,dog,单词,1
253,dogs,单词,1
254,domestic life,词组,5
255,door,单词,1
256,door-to-door,单词,5
257,drawings,单词,3
258,drone,单词,2
259,drop-off,单词,3
260,duck,单词,1
261,dust,单词,1
262,ear,单词,1
263,eating,单词,2
264,education,单词,4
265,education system,词组,5
266,effect,单词,2
267,egg,单词,1
268,electrician,单词,5
269,electricity,单词,5
270,email,单词,2
271,emotions,单词,3
272,employment,单词,4
273,engineer,单词,3
274,entertainment,单词,5
275,environment,单词,5
276,equipment,单词,4
277,erosion,单词,3
278,escape,单词,2
279,europe,单词,2
280,evening,单词,3
281,evidence,单词,3
282,exchanges,单词,4
283,exhibition,单词,4
284,expansion,单词,4
285,experience,单词,4
286,experiment,单词,4
287,eyes,单词,1
288,facility,单词,3
289,factories,单词,4
290,fall,单词,1
291,families,单词,3
292,farm,单词,1
293,fat,单词,1
294,father,单词,2
295,feathers,单词,3
296,feedback,单词,3
297,feeding,单词,3
298,feelings,单词,3
299,fees,单词,1
300,feet,单词,1
301,female,单词,2
302,fence,单词,2
303,fences,单词,2
304,ferry,单词,2
305,fertilisers,单词,5
306,fertilizers,单词,5
307,festivals,单词,4
308,field,单词,2
309,film,单词,1
310,finance,单词,3
311,finger,单词,2
312,fire,单词,1
313,firewood,单词,3
314,fish,单词,1
315,fishing,单词,3
316,fishing industry,词组,5
317,fitness,单词,3
318,flag,单词,1
319,flight,单词,2
320,flooding,单词,3
321,floor,单词,2
322,flute,单词,2
323,focus,单词,2
324,food,单词,1
325,footbridge,单词,4
326,forest,单词,2
327,fountain,单词,3
328,frame,单词,2
329,free entry,词组,4
330,free meal,词组,4
331,freedom,单词,3
332,frequency,单词,4
333,friday,单词,2
334,fridge,单词,2
335,friend,单词,2
336,frog,单词,1
337,fuel,单词,1
338,full,单词,1
339,full-time,单词,4
340,furniture,单词,4
341,gallery,单词,3
342,games,单词,2
343,garage,单词,2
344,garden,单词,2
345,gardening,单词,4
346,gardens,单词,3
347,gates,单词,2
348,gender,单词,2
349,gene,单词,1
350,gift shop,词组,4
351,glass,单词,2
352,glasses,单词,3
353,gloves,单词,2
354,grammar,单词,3
355,grandmother,单词,5
356,grandparents,单词,5
357,grant,单词,2
358,graph,单词,2
359,graphic,单词,3
360,grass,单词,2
361,grasses,单词,3
362,great,单词,2
363,ground,单词,2
364,group,单词,2
365,groups,单词,2
366,growth,单词,2
367,guest,单词,2
368,guests,单词,2
369,guided tour,词组,5
370,habit,单词,2
371,hair,单词,1
372,hairdresser,单词,5
373,half,单词,1
374,hall,单词,1
375,hand,单词,1
376,handbag,单词,3
377,handout,单词,3
378,harbor,单词,2
379,harbour,单词,3
380,head,单词,1
381,health,单词,2
382,health problems,词组,5
383,hearing,单词,3
384,heart,单词,2
385,helicopters,单词,5
386,helmet,单词,2
387,hill,单词,1
388,history,单词,3
389,holiday,单词,3
390,home,单词,1
391,horse,单词,2
392,horses,单词,2
393,hospital,单词,3
394,hostel,单词,2
395,hotel,单词,2
396,hotels,单词,2
397,house,单词,2
398,human,单词,2
399,humans,单词,2
400,humid,单词,2
401,hunting,单词,3
402,ice,单词,1
403,ideas,单词,2
404,identification,单词,5
405,identity,单词,3
406,image,单词,2
407,impact,单词,2
408,incineration,单词,5
409,income,单词,2
410,individual,单词,4
411,industry,单词,3
412,information,单词,5
413,injury,单词,2
414,innovation,单词,4
415,insects,单词,3
416,instrument,单词,4
417,instruments,单词,5
418,insulation,单词,4
419,insurance,单词,4
420,intact,单词,2
421,interest,单词,3
422,interest rates,词组,5
423,intermedia,单词,4
424,international house,词组,5
425,internet,单词,3
426,interview,单词,4
427,investment,单词,4
428,irrigation,单词,4
429,island,单词,2
430,islands,单词,3
431,isolation,单词,4
432,issues,单词,2
433,item,单词,1
434,jacket,单词,2
435,jazz,单词,1
436,jeans,单词,2
437,jobs,单词,1
438,joining,单词,3
439,journalist,单词,4
440,journalists,单词,5
441,july,单词,1
442,june,单词,1
443,king,单词,1
444,knee,单词,1
445,knife,单词,2
446,knowledge,单词,4
447,laboratory,单词,4
448,ladder,单词,2
449,lake,单词,1
450,lamp,单词,1
451,lamps,单词,2
452,language,单词,3
453,laptop,单词,2
454,leader,单词,2
455,leaders,单词,3
456,leadership,单词,4
457,leaf,单词,1
458,leather,单词,3
459,lecture,单词,3
460,leg,单词,1
461,levels,单词,2
462,lifting,单词,3
463,light,单词,2
464,lighting,单词,3
465,lights,单词,2
466,lion,单词,1
467,liter,单词,2
468,litre,单词,2
469,litter,单词,2
470,living,单词,2
471,local craftsman,词组,5
472,location,单词,3
473,locker,单词,2
474,logic,单词,2
475,logo,单词,1
476,long,单词,1
477,low risk,词组,3
478,lunch,单词,2
479,machines,单词,3
480,main hall,词组,4
481,male,单词,1
482,mammals,单词,3
483,management,单词,4
484,manager,单词,3
485,map,单词,1
486,maps,单词,1
487,march,单词,2
488,market,单词,2
489,market share,词组,5
490,marketing,单词,4
491,mass,单词,1
492,material,单词,3
493,math,单词,1
494,mathematics,单词,5
495,maths,单词,2
496,mature,单词,2
497,may,单词,1
498,meal,单词,1
499,measurement,单词,5
500,meat,单词,1
501,media,单词,2
502,media room,词组,4
503,mediator,单词,3
504,medication,单词,4
505,meditation,单词,4
506,meetings,单词,3
507,melon,单词,2
508,message,单词,3
509,method,单词,2
510,microphone,单词,4
511,migration,单词,4
512,military,单词,3
513,minerals,单词,3
514,minibus,单词,3
515,minutes,单词,3
516,model,单词,2
517,module,单词,2
518,monday,单词,2
519,money,单词,2
520,monkeys,单词,3
521,month,单词,2
522,monument,单词,3
523,moon,单词,1
524,morning,单词,3
525,mother,单词,2
526,motivation,单词,4
527,mountains,单词,4
528,mouths,单词,2
529,movement,单词,3
530,mover,单词,2
531,movie,单词,2
532,mud,单词,1
533,museum,单词,2
534,music,单词,2
535,name,单词,1
536,national holidays,词组,5
537,nature,单词,2
538,nearest,单词,3
539,neck,单词,1
540,nest,单词,1
541,network,单词,3
542,networks,单词,3
543,new,单词,1
544,newsletter,单词,4
545,newspaper,单词,4
546,newspapers,单词,4
547,night,单词,2
548,noise,单词,2
549,noises,单词,2
550,north-west,单词,4
551,note-taking,单词,5
552,notice,单词,2
553,november,单词,3
554,numbers,单词,3
555,nursing,单词,3
556,nutrients,单词,4
557,obesity,单词,3
558,observation,单词,5
559,ocean,单词,2
560,oceans,单词,2
561,october,单词,3
562,office,单词,2
563,oil,单词,1
564,old,单词,1
565,older,单词,2
566,olympics,单词,3
567,online,单词,2
568,opera,单词,2
569,opportunity,单词,5
570,outline,单词,3
571,outside,单词,3
572,overdue,单词,3
573,pack,单词,1
574,page,单词,1
575,paper,单词,2
576,paragraph,单词,4
577,park,单词,1
578,parking,单词,3
579,parking lot,词组,5
580,partner,单词,3
581,pass,单词,1
582,passport,单词,3
583,patients,单词,3
584,patterns,单词,3
585,payment,单词,3
586,peak,单词,1
587,pencil,单词,2
588,people,单词,2
589,perfume,单词,3
590,personality,单词,5
591,pet,单词,1
592,phone,单词,2
593,photo,单词,2
594,photo card,词组,4
595,photograph,单词,4
596,photographs,单词,5
597,photos,单词,2
598,physics,单词,3
599,pianist,单词,3
600,piano player,词组,5
601,picnic,单词,2
602,picture,单词,3
603,pictures,单词,3
604,piece,单词,2
605,places,单词,2
606,planned,单词,3
607,plant,单词,2
608,plants,单词,2
609,plastic,单词,3
610,plates,单词,2
611,platform,单词,3
612,playground,单词,4
613,plot,单词,1
614,podcast,单词,3
615,poetry,单词,2
616,poison,单词,2
617,police,单词,2
618,politics,单词,3
619,pollution,单词,4
620,pool,单词,1
621,poor,单词,1
622,port,单词,1
623,postbox,单词,3
624,poster,单词,2
625,posters,单词,3
626,poverty,单词,3
627,power,单词,2
628,practice,单词,3
629,predators,单词,4
630,prediction,单词,4
631,presentation,单词,5
632,preservation,单词,5
633,press,单词,2
634,price,单词,2
635,prices,单词,2
636,primary school,词组,5
637,prince,单词,2
638,printer,单词,3
639,priorities,单词,4
640,prize,单词,2
641,problem,单词,3
642,problems,单词,3
643,profession,单词,4
644,profit,单词,2
645,project,单词,3
646,protection,单词,4
647,protein,单词,3
648,publication,单词,5
649,purple,单词,2
650,purpose,单词,3
651,put,单词,1
652,puzzle,单词,2
653,quality,单词,3
654,quarter,单词,3
655,questionnaire,单词,5
656,quiz,单词,1
657,races,单词,2
658,rain,单词,1
659,rats,单词,1
660,reading,单词,3
661,receptionist,单词,5
662,recording,单词,4
663,records,单词,3
664,recovery,单词,3
665,red,单词,1
666,reference,单词,4
667,refreshment,单词,5
668,regulation,单词,4
669,relative,单词,3
670,relatives,单词,4
671,repeated,单词,3
672,report writing,词组,5
673,reporters,单词,4
674,reproduction,单词,5
675,reputation,单词,4
676,research,单词,3
677,researcher,单词,4
678,reservation,单词,5
679,residence,单词,4
680,resources,单词,4
681,resources room,词组,5
682,respect,单词,3
683,responsibility,单词,5
684,restaurant,单词,4
685,restriction,单词,5
686,return,单词,2
687,review,单词,2
688,reviews,单词,3
689,risk,单词,1
690,river,单词,2
691,riverside,单词,4
692,road,单词,1
693,roads,单词,2
694,robbery,单词,3
695,rock,单词,1
696,roof,单词,1
697,room,单词,1
698,roots,单词,2
699,rose,单词,1
700,rose garden,词组,5
701,roses,单词,2
702,rough,单词,2
703,round,单词,2
704,route,单词,2
705,rubber,单词,2
706,running,单词,3
707,safety,单词,2
708,safety rules,词组,5
709,salad bar,词组,4
710,sale,单词,1
711,salt,单词,1
712,samphire,单词,3
713,sand,单词,1
714,scarf,单词,2
715,schedule,单词,3
716,school,单词,2
717,science,单词,3
718,scientist,单词,4
719,screen,单词,2
720,sea,单词,1
721,sea level,词组,4
722,seafood,单词,3
723,seaweed,单词,3
724,security,单词,3
725,seed,单词,1
726,self,单词,1
727,self-employed,单词,5
728,sense,单词,2
729,september,单词,4
730,service,单词,3
731,set,单词,1
732,settlement,单词,4
733,sex,单词,1
734,shaded,单词,2
735,shape,单词,2
736,shared,单词,2
737,sheep,单词,2
738,shelter,单词,3
739,ship,单词,1
740,shirts,单词,2
741,shoes,单词,2
742,shopping,单词,3
743,shops,单词,2
744,short,单词,2
745,shoulder,单词,3
746,shoulders,单词,4
747,shower,单词,2
748,showroom,单词,3
749,side effects,词组,5
750,sides,单词,2
751,sign,单词,1
752,simple,单词,2
753,size,单词,1
754,skills,单词,2
755,sky,单词,1
756,slang,单词,2
757,slavery,单词,3
758,slaves,单词,2
759,slides,单词,2
760,smartphone,单词,4
761,smartphones,单词,5
762,smell,单词,2
763,smile,单词,2
764,snack,单词,2
765,snakes,单词,2
766,society,单词,3
767,software,单词,3
768,soil,单词,1
769,solar,单词,2
770,son,单词,1
771,sound,单词,2
772,sounds,单词,2
773,south,单词,2
774,space,单词,2
775,spanish,单词,3
776,specialist,单词,4
777,speech,单词,2
778,speed,单词,2
779,spice,单词,2
780,spoons,单词,2
781,spring,单词,2
782,stadium,单词,3
783,staff,单词,2
784,stage,单词,2
785,stamps,单词,2
786,statement,单词,4
787,station,单词,3
788,statistics,单词,4
789,steam,单词,2
790,steps,单词,2
791,stone,单词,2
792,storage,单词,3
793,store,单词,2
794,storms,单词,2
795,story,单词,2
796,strain,单词,2
797,strangers,单词,4
798,strawberry,单词,4
799,stream,单词,2
800,street,单词,2
801,stress,单词,2
802,string,单词,2
803,structure,单词,4
804,structures,单词,4
805,student,单词,3
806,student support,词组,5
807,studio,单词,2
808,style,单词,2
809,sugar,单词,2
810,suit,单词,1
811,suits,单词,2
812,sunday,单词,2
813,sunshade,单词,3
814,superiority,单词,5
815,supermarket,单词,5
816,support,单词,3
817,surface,单词,3
818,survey,单词,2
819,swimming,单词,3
820,system,单词,2
821,table,单词,2
822,tail,单词,1
823,tailor,单词,2
824,talk,单词,1
825,tape,单词,1
826,taps,单词,1
827,tasks,单词,2
828,taste,单词,2
829,tax,单词,1
830,taxation,单词,3
831,taxi,单词,1
832,tea,单词,1
833,teacher,单词,3
834,teaching,单词,3
835,team,单词,1
836,team leader,词组,5
837,technology,单词,4
838,teenagers,单词,4
839,telegraph,单词,4
840,telephone,单词,4
841,temperature,单词,5
842,temperatures,单词,5
843,temple,单词,2
844,tennis,单词,2
845,tent,单词,1
846,term,单词,1
847,tests,单词,2
848,textbook,单词,3
849,textile,单词,3
850,theater,单词,3
851,theatre,单词,3
852,theme,单词,2
853,therapy,单词,3
854,thermometer,单词,5
855,thousands,单词,4
856,thursday,单词,3
857,ticket,单词,2
858,tickets,单词,3
859,tide,单词,1
860,tiger,单词,2
861,time,单词,1
862,timetable,单词,4
863,timing,单词,2
864,together,单词,3
865,tongue,单词,2
866,tool,单词,1
867,tools,单词,2
868,toothpaste,单词,4
869,top,单词,1
870,topic,单词,2
871,touching,单词,3
872,tour,单词,1
873,tourism,单词,3
874,tower,单词,2
875,town,单词,1
876,tracking,单词,3
877,traffic,单词,3
878,train,单词,2
879,training,单词,3
880,trains,单词,2
881,transport,单词,4
882,transportation,单词,5
883,travelling,单词,4
884,tree,单词,1
885,trees,单词,2
886,trust,单词,2
887,tube,单词,1
888,tutor,单词,2
889,unaware,单词,3
890,undersea,单词,3
891,uniform,单词,3
892,unit,单词,1
893,universities,单词,5
894,university,单词,4
895,vacation,单词,3
896,variety,单词,3
897,vegan,单词,2
898,vegetarian,单词,4
899,viewing,单词,3
900,viewpoint,单词,4
901,village,单词,3
902,violin,单词,2
903,vision,单词,2
904,visions,单词,3
905,visitors,单词,3
906,vitamins,单词,3
907,vocabulary,单词,4
908,voice,单词,2
909,waist,单词,2
910,waiter,单词,2
911,walking,单词,3
912,wall,单词,1
913,walls,单词,2
914,waste,单词,2
915,water,单词,2
916,water level,词组,5
917,waterfall,单词,4
918,wealth,单词,2
919,weapons,单词,3
920,weather,单词,3
921,wednesday,单词,4
922,wednesdays,单词,4
923,week,单词,1
924,weekend,单词,3
925,weight,单词,2
926,west,单词,1
927,whale,单词,2
928,wheel,单词,2
929,white,单词,2
930,whole,单词,2
931,wifi,单词,1
932,windows,单词,3
933,wine,单词,1
934,wings,单词,2
935,winter,单词,2
936,wire,单词,1
937,wood,单词,1
938,workbooks,单词,4
939,working,单词,3
940,workshop,单词,3
941,world,单词,2
942,worst,单词,2
943,yellow,单词,2
944,yoga,单词,1
945,young,单词,2
946,youth,单词,2
