序号,单词/词组,词性,类型,难度
74,bilingual,形容词,单词,4
75,bill,名词,单词,1
76,biology lesson,名词,词组,5
77,bitterness,名词,单词,4
78,blog,名词,单词,1
79,blonde,形容词,单词,2
80,blue,名词,单词,1
81,board,名词,单词,2
82,boat,名词,单词,1
83,bone,名词,单词,1
84,bones,名词,单词,2
85,book,动词,单词,1
86,booking,名词,单词,3
87,bookshop,名词,单词,3
88,bookstore,名词,单词,4
89,boots,名词,单词,2
90,bottle,名词,单词,2
91,bottom,名词,单词,2
92,box,名词,单词,1
93,brain,名词,单词,2
94,brake,名词,单词,2
95,branch,名词,单词,2
96,break,名词,单词,2
97,breathing,名词,单词,4
98,breeding,名词,单词,3
99,bridge,名词,单词,2
100,brother in law,名词,词组,5
101,budget,名词,单词,2
102,build,动词,单词,2
103,building,名词,单词,3
104,bullying,名词,单词,3
105,business,名词,单词,3
106,business card,名词,词组,5
107,butterflies,名词,单词,5
108,button,名词,单词,2
109,buy,动词,单词,1
110,cab,名词,单词,1
111,cabins,名词,单词,2
112,cafe,名词,单词,1
113,calories,名词,单词,3
114,camera,名词,单词,2
115,canadian,名词,单词,3
116,canal,形容词,单词,2
117,capital,名词,单词,3
118,capitalism,名词,单词,4
119,car,名词,单词,1
120,car park,名词,词组,3
121,card,名词,单词,1
122,care,名词,单词,1
123,cash,名词,单词,1
124,castle,名词,单词,2
125,catalogue,名词,单词,4
126,cathedral,名词,单词,4
127,cattle,名词,单词,2
128,cave,名词,单词,1
129,caves,名词,单词,2
130,cd,名词,单词,1
131,center,名词,单词,2
132,central,形容词,单词,3
133,change,名词,单词,2
134,character,名词,单词,4
135,chat,名词,单词,1
136,cheap,形容词,单词,2
137,check,动词,单词,2
138,checklist,名词,单词,4
139,cheese,名词,单词,2
140,chefs,名词,单词,2
141,cheque,名词,单词,2
142,children,名词,单词,3
143,chocolate,名词,单词,4
144,chocolate bar,名词,词组,5
145,choices,名词,单词,3
146,choose,动词,单词,2
147,christmas day,名词,词组,5
148,cigar,名词,单词,2
149,cinema,名词,单词,2
150,circles,名词,单词,3
151,city,名词,单词,1
152,city centre,名词,词组,5
153,clapping,名词,单词,3
154,clarinet,名词,单词,3
155,class,名词,单词,2
156,classical,形容词,单词,4
157,classical music,名词,词组,5
158,classification,名词,单词,5
159,classroom,名词,单词,4
160,clay,名词,单词,1
161,cleaner,名词,单词,3
162,clear,形容词,单词,2
163,clear voice,名词,词组,5
164,cliffs,名词,单词,2
165,climate,动词,单词,3
166,climb,动词,单词,2
167,clothes,名词,单词,3
168,clothing,名词,单词,3
169,clouds,名词,单词,2
170,cloudy,形容词,单词,2
171,club,名词,单词,1
172,clubhouse,名词,单词,4
173,clubs,名词,单词,2
174,coal,名词,单词,1
175,coconut,名词,单词,3
176,code,名词,单词,1
177,coffee,名词,单词,2
178,cognitive,形容词,单词,4
179,coins,名词,单词,2
180,collect,动词,单词,3
181,collecting,名词,单词,4
182,collection,名词,单词,4
183,college,名词,单词,3
184,colony,名词,单词,2
185,color,名词,单词,2
186,colour,名词,单词,2
187,combination,名词,单词,5
188,come,动词,单词,1
189,comets,名词,单词,2
190,comfortable,形容词,单词,5
191,common,形容词,单词,2
192,communication,名词,单词,5
193,competition,名词,单词,5
194,complete,动词,单词,3
195,complex,名词,单词,3
196,complicated,名词,单词,5
197,computer,名词,单词,3
198,concert,名词,单词,3
199,concrete,名词,单词,3
200,conditioner,名词,单词,5
201,conference,名词,单词,4
202,confidence,名词,单词,4
203,confident,形容词,单词,4
204,confusion,名词,单词,4
205,conservation,名词,单词,5
206,considerably,副词,单词,5
207,constant,形容词,单词,3
208,consumer,名词,单词,3
209,consumption,名词,单词,5
210,contact,名词,单词,3
211,container,名词,单词,4
212,control,名词,单词,3
213,convenient,形容词,单词,4
214,conversation,名词,单词,5
215,cooker,名词,单词,2
216,cooking,名词,单词,3
217,cooks,名词,单词,2
218,cooperate,动词,单词,4
219,cooperation,名词,单词,5
220,correction,名词,单词,4
221,cost,动词,单词,1
222,cottage,名词,单词,3
223,count,名词,单词,2
224,country,名词,单词,3
225,course,名词,单词,2
226,creation,名词,单词,3
227,creativeness,名词,单词,5
228,creativity,名词,单词,4
229,creature,名词,单词,3
230,credit,名词,单词,2
231,crime,名词,单词,2
232,crisis,名词,单词,2
233,crow,名词,单词,1
234,crying,名词,单词,2
235,crystal,名词,单词,3
236,culture,名词,单词,3
237,current,形容词,单词,3
238,curtains,名词,单词,3
239,curved,名词,单词,2
240,customer,名词,单词,3
241,customers,名词,单词,4
242,cycling,名词,单词,3
243,damage,名词,单词,2
244,damp,形容词,单词,1
245,dance,名词,单词,2
246,dances,名词,单词,2
247,dancing,名词,单词,3
248,dangerous,形容词,单词,4
249,dark,形容词,单词,1
250,data,名词,单词,1
251,database,名词,单词,3
252,day,形容词,单词,1
253,day off,名词,词组,3
254,dead,形容词,单词,1
255,decade,名词,单词,2
256,december,名词,单词,3
257,decline,名词,单词,3
258,declining,名词,单词,4
259,decorate,动词,单词,3
260,decoration,名词,单词,4
261,decrease,动词,单词,3
262,delay,名词,单词,2
263,deliveries,名词,单词,4
264,demand,名词,单词,2
265,democratic,形容词,单词,4
266,dentist,名词,单词,3
267,department,名词,单词,4
268,deposit,名词,单词,3
269,depression,名词,单词,4
270,description,名词,单词,5
271,desert,名词,单词,2
272,design,名词,单词,2
273,desks,名词,单词,2
274,destinations,名词,单词,5
275,destruction,名词,单词,5
276,detail,名词,单词,2
277,development,名词,单词,5
278,diameter,名词,单词,3
279,diary,名词,单词,2
280,dictionary,名词,单词,4
281,diet,名词,单词,1
282,dining,名词,单词,2
283,dinner,名词,单词,2
284,direction,名词,单词,4
285,disabled,名词,单词,3
286,discount,名词,单词,3
287,discs,名词,单词,2
288,discussion,名词,单词,4
289,disease,名词,单词,3
290,distance,名词,单词,3
291,distortion,名词,单词,4
292,disturbing,名词,单词,4
293,diversity,名词,单词,4
294,doctor,名词,单词,2
295,dog,名词,单词,1
296,dogs,名词,单词,1
297,domestic life,名词,词组,5
298,door,名词,单词,1
299,door-to-door,名词,单词,5
300,drawings,名词,单词,3
301,drink,动词,单词,2
302,drone,名词,单词,2
303,drop-off,名词,单词,3
304,dry,形容词,单词,1
305,duck,名词,单词,1
306,dust,名词,单词,1
307,ear,名词,单词,1
308,eating,名词,单词,2
309,economic,形容词,单词,3
310,edit,动词,单词,1
311,education,名词,单词,4
312,education system,名词,词组,5
313,effect,名词,单词,2
314,effectively,副词,单词,5
315,egg,名词,单词,1
316,electrician,名词,单词,5
317,electricity,名词,单词,5
318,electronic,形容词,单词,4
319,email,名词,单词,2
320,embassy,形容词,单词,3
321,emotions,名词,单词,3
322,employment,名词,单词,4
323,endangered,形容词,单词,4
324,energy,形容词,单词,2
325,engineer,名词,单词,3
326,english,形容词,单词,3
327,entertainment,名词,单词,5
328,entry,形容词,单词,2
329,environment,名词,单词,5
330,equipment,名词,单词,4
331,erosion,名词,单词,3
332,escape,名词,单词,2
333,europe,名词,单词,2
334,evaluate,动词,单词,3
335,evening,名词,单词,3
336,evidence,名词,单词,3
337,exchanges,名词,单词,4
338,exhibition,名词,单词,4
339,expansion,名词,单词,4
340,experience,名词,单词,4
341,experiment,名词,单词,4
342,eyes,名词,单词,1
343,facility,名词,单词,3
344,factories,名词,单词,4
345,factory,形容词,单词,3
346,fall,名词,单词,1
347,families,名词,单词,3
348,family,形容词,单词,2
349,farm,名词,单词,1
350,fat,名词,单词,1
351,father,名词,单词,2
352,feathers,名词,单词,3
353,feed,动词,单词,1
354,feedback,名词,单词,3
355,feeding,名词,单词,3
356,feelings,名词,单词,3
357,fees,名词,单词,1
358,feet,名词,单词,1
359,female,名词,单词,2
360,fence,名词,单词,2
361,fences,名词,单词,2
362,ferry,名词,单词,2
363,fertilisers,名词,单词,5
364,fertilizers,名词,单词,5
365,festivals,名词,单词,4
366,field,名词,单词,2
367,fifteen,动词,单词,3
368,film,名词,单词,1
369,filter,动词,单词,2
370,finance,名词,单词,3
371,finger,名词,单词,2
372,fire,名词,单词,1
373,firewood,名词,单词,3
374,fish,名词,单词,1
375,fishing,名词,单词,3
376,fishing industry,名词,词组,5
377,fit,形容词,单词,1
378,fitness,名词,单词,3
379,flag,名词,单词,1
380,flexible,形容词,单词,3
381,flight,名词,单词,2
382,flooding,名词,单词,3
383,floor,名词,单词,2
384,fluent,形容词,单词,2
385,flute,名词,单词,2
386,focus,名词,单词,2
387,food,名词,单词,1
388,footbridge,名词,单词,4
389,forest,名词,单词,2
390,formal,形容词,单词,2
391,fountain,名词,单词,3
392,frame,名词,单词,2
393,free entry,名词,词组,4
394,free meal,名词,词组,4
395,freedom,名词,单词,3
396,frequency,名词,单词,4
397,friday,名词,单词,2
398,fridge,名词,单词,2
399,friend,名词,单词,2
400,frog,名词,单词,1
401,fuel,名词,单词,1
402,full,名词,单词,1
403,full-time,名词,单词,4
404,furniture,名词,单词,4
405,gallery,名词,单词,3
406,games,名词,单词,2
407,garage,名词,单词,2
408,garden,名词,单词,2
409,gardening,名词,单词,4
410,gardens,名词,单词,3
411,gates,名词,单词,2
412,gather,动词,单词,2
413,gender,名词,单词,2
414,gene,名词,单词,1
415,general,形容词,单词,3
416,gift shop,名词,词组,4
417,glass,名词,单词,2
418,glasses,名词,单词,3
419,global,形容词,单词,2
420,gloves,名词,单词,2
421,go,动词,单词,1
422,golden,形容词,单词,2
423,grammar,名词,单词,3
424,grandmother,名词,单词,5
425,grandparents,名词,单词,5
426,grant,名词,单词,2
427,graph,名词,单词,2
428,graphic,名词,单词,3
429,grass,名词,单词,2
430,grasses,名词,单词,3
431,great,名词,单词,2
432,green,动词,单词,2
433,ground,名词,单词,2
434,group,名词,单词,2
435,groups,名词,单词,2
436,growth,名词,单词,2
437,guest,名词,单词,2
438,guests,名词,单词,2
439,guide,动词,单词,2
440,guided tour,名词,词组,5
441,habit,名词,单词,2
442,hair,名词,单词,1
443,hairdresser,名词,单词,5
444,half,名词,单词,1
445,hall,名词,单词,1
446,hand,名词,单词,1
447,handbag,名词,单词,3
448,handout,名词,单词,3
449,harbor,名词,单词,2
450,harbour,名词,单词,3
451,hard,形容词,单词,1
452,head,名词,单词,1
453,health,名词,单词,2
454,health problems,名词,词组,5
455,healthy,形容词,单词,3
456,hearing,名词,单词,3
457,heart,名词,单词,2
458,heavy,形容词,单词,2
459,helicopters,名词,单词,5
460,helmet,名词,单词,2
461,hill,名词,单词,1
462,history,名词,单词,3
463,holiday,名词,单词,3
464,home,名词,单词,1
465,horse,名词,单词,2
466,horses,名词,单词,2
467,hospital,名词,单词,3
468,hostel,名词,单词,2
469,hotel,名词,单词,2
470,hotels,名词,单词,2
471,house,名词,单词,2
472,human,名词,单词,2
473,humans,名词,单词,2
474,humid,名词,单词,2
475,hunting,名词,单词,3
476,ice,名词,单词,1
477,ideas,名词,单词,2
478,identification,名词,单词,5
479,identity,名词,单词,3
480,illegal,形容词,单词,3
481,image,名词,单词,2
482,impact,名词,单词,2
483,in advance,短语,词组,4
484,incineration,名词,单词,5
485,income,名词,单词,2
486,individual,名词,单词,4
487,industry,名词,单词,3
488,information,名词,单词,5
489,injury,名词,单词,2
490,innovation,名词,单词,4
491,insects,名词,单词,3
492,instrument,名词,单词,4
493,instruments,名词,单词,5
494,insulation,名词,单词,4
495,insurance,名词,单词,4
496,intact,名词,单词,2
497,intensive,形容词,单词,4
498,interest,名词,单词,3
499,interest rates,名词,词组,5
500,intermedia,名词,单词,4
501,international,形容词,单词,5
502,international house,名词,词组,5
503,internet,名词,单词,3
504,interview,名词,单词,4
505,investment,名词,单词,4
506,irrigation,名词,单词,4
507,island,名词,单词,2
508,islands,名词,单词,3
509,isolation,名词,单词,4
510,issues,名词,单词,2
511,item,名词,单词,1
512,jacket,名词,单词,2
513,jazz,名词,单词,1
514,jeans,名词,单词,2
515,jobs,名词,单词,1
516,joining,名词,单词,3
517,journalist,名词,单词,4
518,journalists,名词,单词,5
519,july,名词,单词,1
520,june,名词,单词,1
521,keep fit,短语,词组,3
522,king,名词,单词,1
523,kitchen,动词,单词,3
524,knee,名词,单词,1
525,knife,名词,单词,2
526,knowledge,名词,单词,4
527,laboratory,名词,单词,4
528,ladder,名词,单词,2
529,lake,名词,单词,1
530,lamp,名词,单词,1
531,lamps,名词,单词,2
532,language,名词,单词,3
533,laptop,名词,单词,2
534,late,动词,单词,1
535,leader,名词,单词,2
536,leaders,名词,单词,3
537,leadership,名词,单词,4
538,leaf,名词,单词,1
539,learn,动词,单词,2
540,leather,名词,单词,3
541,lecture,名词,单词,3
542,leg,名词,单词,1
543,levels,名词,单词,2
544,library,形容词,单词,3
545,lifting,名词,单词,3
546,light,名词,单词,2
547,lighting,名词,单词,3
548,lights,名词,单词,2
549,lion,名词,单词,1
550,liter,名词,单词,2
551,litre,名词,单词,2
552,litter,名词,单词,2
553,lively,形容词,单词,2
554,living,名词,单词,2
555,local,形容词,单词,2
556,local craftsman,名词,词组,5
557,location,名词,单词,3
558,locker,名词,单词,2
559,logic,名词,单词,2
560,logo,名词,单词,1
561,long,名词,单词,1
562,low,形容词,单词,1
563,low risk,名词,词组,3
564,lunch,名词,单词,2
565,machines,名词,单词,3
566,magic,形容词,单词,2
567,main hall,名词,词组,4
568,male,名词,单词,1
569,mammals,名词,单词,3
570,management,名词,单词,4
571,manager,名词,单词,3
572,map,名词,单词,1
573,maps,名词,单词,1
574,march,名词,单词,2
575,market,名词,单词,2
576,market share,名词,词组,5
577,marketing,名词,单词,4
578,mass,名词,单词,1
579,material,名词,单词,3
580,math,名词,单词,1
581,mathematics,名词,单词,5
582,maths,名词,单词,2
583,mature,名词,单词,2
584,may,名词,单词,1
585,meal,名词,单词,1
586,measurement,名词,单词,5
587,meat,名词,单词,1
588,media,名词,单词,2
589,media room,名词,词组,4
590,mediator,名词,单词,3
591,medical,形容词,单词,3
592,medication,名词,单词,4
593,meditation,名词,单词,4
594,meetings,名词,单词,3
595,melon,名词,单词,2
596,memory,形容词,单词,2
597,message,名词,单词,3
598,metal,形容词,单词,2
599,method,名词,单词,2
600,microphone,名词,单词,4
601,mid-day,形容词,单词,3
602,migration,名词,单词,4
603,military,名词,单词,3
604,minerals,名词,单词,3
605,minibus,名词,单词,3
606,minutes,名词,单词,3
607,missed,形容词,单词,2
608,model,名词,单词,2
609,modern,形容词,单词,2
610,module,名词,单词,2
611,moist,形容词,单词,2
612,monday,名词,单词,2
613,money,名词,单词,2
614,monkeys,名词,单词,3
615,month,名词,单词,2
616,monthly,形容词,单词,3
617,monument,名词,单词,3
618,moon,名词,单词,1
619,morning,名词,单词,3
620,mother,名词,单词,2
621,motivation,名词,单词,4
622,mountains,名词,单词,4
623,mouths,名词,单词,2
624,move,动词,单词,1
625,movement,名词,单词,3
626,mover,名词,单词,2
627,movie,名词,单词,2
628,mud,名词,单词,1
629,museum,名词,单词,2
630,music,名词,单词,2
631,name,名词,单词,1
632,national holidays,名词,词组,5
633,nature,名词,单词,2
634,nearest,名词,单词,3
635,neck,名词,单词,1
636,negative,形容词,单词,3
637,nest,名词,单词,1
638,network,名词,单词,3
639,networks,名词,单词,3
640,new,名词,单词,1
641,newsletter,名词,单词,4
642,newspaper,名词,单词,4
643,newspapers,名词,单词,4
644,night,名词,单词,2
645,noise,名词,单词,2
646,noises,名词,单词,2
647,noisy,形容词,单词,2
648,north-west,名词,单词,4
649,northern,形容词,单词,3
650,note-taking,名词,单词,5
651,notice,名词,单词,2
652,november,名词,单词,3
653,numbers,名词,单词,3
654,nursery,形容词,单词,3
655,nursing,名词,单词,3
656,nutrients,名词,单词,4
657,obesity,名词,单词,3
658,observation,名词,单词,5
659,ocean,名词,单词,2
660,oceans,名词,单词,2
661,october,名词,单词,3
662,office,名词,单词,2
663,oil,名词,单词,1
664,old,名词,单词,1
665,older,名词,单词,2
666,olympics,名词,单词,3
667,online,名词,单词,2
668,opera,名词,单词,2
669,opportunity,名词,单词,5
670,ordinary,形容词,单词,3
671,outdoor,形容词,单词,3
672,outline,名词,单词,3
673,outside,名词,单词,3
674,overdue,名词,单词,3
675,oxygen,动词,单词,2
676,pack,名词,单词,1
677,page,名词,单词,1
678,paper,名词,单词,2
679,paragraph,名词,单词,4
680,park,名词,单词,1
681,parking,名词,单词,3
682,parking lot,名词,词组,5
683,partner,名词,单词,3
684,pass,名词,单词,1
685,passport,名词,单词,3
686,patients,名词,单词,3
687,patterns,名词,单词,3
688,payment,名词,单词,3
689,peak,名词,单词,1
690,pencil,名词,单词,2
691,people,名词,单词,2
692,perfume,名词,单词,3
693,permanent,形容词,单词,4
694,personal,形容词,单词,3
695,personality,名词,单词,5
696,persuade,动词,单词,3
697,pet,名词,单词,1
698,phone,名词,单词,2
699,photo,名词,单词,2
700,photo card,名词,词组,4
701,photograph,名词,单词,4
702,photographs,名词,单词,5
703,photos,名词,单词,2
704,physics,名词,单词,3
705,pianist,名词,单词,3
706,piano player,名词,词组,5
707,picnic,名词,单词,2
708,picture,名词,单词,3
709,pictures,名词,单词,3
710,piece,名词,单词,2
711,places,名词,单词,2
712,plan,动词,单词,1
713,planned,名词,单词,3
714,plant,名词,单词,2
715,plants,名词,单词,2
716,plastic,名词,单词,3
717,plates,名词,单词,2
718,platform,名词,单词,3
719,play,动词,单词,1
720,playground,名词,单词,4
721,plot,名词,单词,1
722,podcast,名词,单词,3
723,poetry,名词,单词,2
724,poison,名词,单词,2
725,police,名词,单词,2
726,political,形容词,单词,4
727,politics,名词,单词,3
728,pollution,名词,单词,4
729,pool,名词,单词,1
730,poor,名词,单词,1
731,port,名词,单词,1
732,postbox,名词,单词,3
733,poster,名词,单词,2
734,posters,名词,单词,3
735,poverty,名词,单词,3
736,power,名词,单词,2
737,practical,形容词,单词,4
738,practice,名词,单词,3
739,practise,动词,单词,3
740,predators,名词,单词,4
741,predictable,形容词,单词,5
742,prediction,名词,单词,4
743,pregnant,形容词,单词,3
744,presentation,名词,单词,5
745,preservation,名词,单词,5
746,press,名词,单词,2
747,price,名词,单词,2
748,prices,名词,单词,2
749,primary,形容词,单词,3
750,primary school,名词,词组,5
751,prince,名词,单词,2
752,printer,名词,单词,3
753,priorities,名词,单词,4
754,private,动词,单词,3
755,prize,名词,单词,2
756,problem,名词,单词,3
757,problems,名词,单词,3
758,profession,名词,单词,4
759,profit,名词,单词,2
760,project,名词,单词,3
761,protection,名词,单词,4
762,protein,名词,单词,3
763,publication,名词,单词,5
764,purple,名词,单词,2
765,purpose,名词,单词,3
766,put,名词,单词,1
767,puzzle,名词,单词,2
768,quality,名词,单词,3
769,quarter,名词,单词,3
770,questionnaire,名词,单词,5
771,quiz,名词,单词,1
772,races,名词,单词,2
773,rain,名词,单词,1
774,rats,名词,单词,1
775,reading,名词,单词,3
776,reasonable,形容词,单词,4
777,receptionist,名词,单词,5
778,recording,名词,单词,4
779,records,名词,单词,3
780,recovery,名词,单词,3
781,rectangular,形容词,单词,5
782,red,名词,单词,1
783,reduce,动词,单词,2
784,reference,名词,单词,4
785,refreshment,名词,单词,5
786,regulation,名词,单词,4
787,relative,名词,单词,3
788,relatives,名词,单词,4
789,reliable,形容词,单词,3
790,repeated,名词,单词,3
791,report writing,名词,词组,5
792,reporters,名词,单词,4
793,reproduction,名词,单词,5
794,reputation,名词,单词,4
795,research,名词,单词,3
796,researcher,名词,单词,4
797,reservation,名词,单词,5
798,reserve,动词,单词,3
799,residence,名词,单词,4
800,resources,名词,单词,4
801,resources room,名词,词组,5
802,respect,名词,单词,3
803,responsibility,名词,单词,5
804,restaurant,名词,单词,4
805,restriction,名词,单词,5
806,return,名词,单词,2
807,review,名词,单词,2
808,reviews,名词,单词,3
809,risk,名词,单词,1
810,river,名词,单词,2
811,riverside,名词,单词,4
812,road,名词,单词,1
813,roads,名词,单词,2
814,robbery,名词,单词,3
815,rock,名词,单词,1
816,roof,名词,单词,1
817,room,名词,单词,1
818,roots,名词,单词,2
819,rose,名词,单词,1
820,rose garden,名词,词组,5
821,roses,名词,单词,2
822,rough,名词,单词,2
823,round,名词,单词,2
824,route,名词,单词,2
825,rubber,名词,单词,2
826,running,名词,单词,3
827,safe,形容词,单词,1
828,safety,名词,单词,2
829,safety rules,名词,词组,5
830,salad bar,名词,词组,4
831,sale,名词,单词,1
832,salt,名词,单词,1
833,samphire,名词,单词,3
834,sand,名词,单词,1
835,satisfactory,形容词,单词,5
836,scarf,名词,单词,2
837,schedule,名词,单词,3
838,school,名词,单词,2
839,science,名词,单词,3
840,scientist,名词,单词,4
841,screen,名词,单词,2
842,sea,名词,单词,1
843,sea level,名词,词组,4
844,seafood,名词,单词,3
845,seaweed,名词,单词,3
846,secondary,形容词,单词,4
847,security,名词,单词,3
848,see,动词,单词,1
849,seed,名词,单词,1
850,select,动词,单词,2
851,self,名词,单词,1
852,self-employed,名词,单词,5
853,send,动词,单词,1
854,sense,名词,单词,2
855,september,名词,单词,4
856,service,名词,单词,3
857,set,名词,单词,1
858,settlement,名词,单词,4
859,sex,名词,单词,1
860,shaded,名词,单词,2
861,shady,形容词,单词,2
862,shape,名词,单词,2
863,shared,名词,单词,2
864,sharp,形容词,单词,2
865,sheep,名词,单词,2
866,shelter,名词,单词,3
867,ship,名词,单词,1
868,shirts,名词,单词,2
869,shoes,名词,单词,2
870,shopping,名词,单词,3
871,shops,名词,单词,2
872,short,名词,单词,2
873,shoulder,名词,单词,3
874,shoulders,名词,单词,4
875,shower,名词,单词,2
876,showroom,名词,单词,3
877,side effects,名词,词组,5
878,sides,名词,单词,2
879,sign,名词,单词,1
880,signed,形容词,单词,2
881,silent,形容词,单词,2
882,simple,名词,单词,2
883,situational,形容词,单词,5
884,size,名词,单词,1
885,skills,名词,单词,2
886,sky,名词,单词,1
887,slang,名词,单词,2
888,slavery,名词,单词,3
889,slaves,名词,单词,2
890,slides,名词,单词,2
891,small,形容词,单词,2
892,smartphone,名词,单词,4
893,smartphones,名词,单词,5
894,smell,名词,单词,2
895,smile,名词,单词,2
896,snack,名词,单词,2
897,snakes,名词,单词,2
898,social,形容词,单词,2
899,socialise,动词,单词,4
900,socialize,动词,单词,4
901,society,名词,单词,3
902,software,名词,单词,3
903,soil,名词,单词,1
904,solar,名词,单词,2
905,son,名词,单词,1
906,sound,名词,单词,2
907,sounds,名词,单词,2
908,south,名词,单词,2
909,space,名词,单词,2
910,spanish,名词,单词,3
911,specialise,动词,单词,4
912,specialist,名词,单词,4
913,speech,名词,单词,2
914,speed,名词,单词,2
915,spice,名词,单词,2
916,spoons,名词,单词,2
917,spring,名词,单词,2
918,stadium,名词,单词,3
919,staff,名词,单词,2
920,stage,名词,单词,2
921,stamps,名词,单词,2
922,standard,形容词,单词,3
923,statement,名词,单词,4
924,station,名词,单词,3
925,statistics,名词,单词,4
926,steam,名词,单词,2
927,steps,名词,单词,2
928,stolen,形容词,单词,2
929,stone,名词,单词,2
930,storage,名词,单词,3
931,store,名词,单词,2
932,storms,名词,单词,2
933,story,名词,单词,2
934,strain,名词,单词,2
935,strangers,名词,单词,4
936,strawberry,名词,单词,4
937,stream,名词,单词,2
938,street,名词,单词,2
939,stress,名词,单词,2
940,string,名词,单词,2
941,structural,形容词,单词,4
942,structure,名词,单词,4
943,structures,名词,单词,4
944,student,名词,单词,3
945,student support,名词,词组,5
946,studio,名词,单词,2
947,study,动词,单词,2
948,style,名词,单词,2
949,sugar,名词,单词,2
950,suit,名词,单词,1
951,suits,名词,单词,2
952,sunday,名词,单词,2
953,sunshade,名词,单词,3
954,superiority,名词,单词,5
955,supermarket,名词,单词,5
956,supervise,动词,单词,4
957,support,名词,单词,3
958,surface,名词,单词,3
959,survey,名词,单词,2
960,survival,形容词,单词,3
961,swimming,名词,单词,3
962,system,名词,单词,2
963,table,名词,单词,2
964,tail,名词,单词,1
965,tailor,名词,单词,2
966,talk,名词,单词,1
967,tape,名词,单词,1
968,taps,名词,单词,1
969,tasks,名词,单词,2
970,taste,名词,单词,2
971,tax,名词,单词,1
972,taxation,名词,单词,3
973,taxi,名词,单词,1
974,tea,名词,单词,1
975,teacher,名词,单词,3
976,teaching,名词,单词,3
977,team,名词,单词,1
978,team leader,名词,词组,5
979,technical,形容词,单词,4
980,technology,名词,单词,4
981,teenagers,名词,单词,4
982,telegraph,名词,单词,4
983,telephone,名词,单词,4
984,temperature,名词,单词,5
985,temperatures,名词,单词,5
986,temple,名词,单词,2
987,temporary,形容词,单词,4
988,tennis,名词,单词,2
989,tent,名词,单词,1
990,term,名词,单词,1
991,tests,名词,单词,2
992,textbook,名词,单词,3
993,textile,名词,单词,3
994,theater,名词,单词,3
995,theatre,名词,单词,3
996,theme,名词,单词,2
997,therapy,名词,单词,3
998,thermometer,名词,单词,5
999,think quickly,短语,词组,5
1000,thousands,名词,单词,4
1001,thursday,名词,单词,3
1002,ticket,名词,单词,2
1003,tickets,名词,单词,3
1004,tide,名词,单词,1
1005,tidy,形容词,单词,1
1006,tiger,名词,单词,2
1007,time,名词,单词,1
1008,timetable,名词,单词,4
1009,timing,名词,单词,2
1010,together,名词,单词,3
1011,tongue,名词,单词,2
1012,tool,名词,单词,1
1013,tools,名词,单词,2
1014,toothpaste,名词,单词,4
1015,top,名词,单词,1
1016,topic,名词,单词,2
1017,touching,名词,单词,3
1018,tour,名词,单词,1
1019,tourism,名词,单词,3
1020,tower,名词,单词,2
1021,town,名词,单词,1
1022,tracking,名词,单词,3
1023,traditional,形容词,单词,5
1024,traffic,名词,单词,3
1025,train,名词,单词,2
1026,training,名词,单词,3
1027,trains,名词,单词,2
1028,transport,名词,单词,4
1029,transportation,名词,单词,5
1030,travel,动词,单词,2
1031,travelling,名词,单词,4
1032,tree,名词,单词,1
1033,trees,名词,单词,2
1034,trust,名词,单词,2
1035,tube,名词,单词,1
